4,5,6,7,8,9,0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,target
0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1
1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1
1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0
1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0
1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0
0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1
1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1
0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1
1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1
0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0
1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0
1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0
0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1
0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0
0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1
0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1
0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1
1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0
0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1
0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1
0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1
0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0
1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1
1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0
1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1
1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1
0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0
0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0
0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1
1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1
0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1
0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0
0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1
1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1
1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1
1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1
0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1
0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1
1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1
1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0
1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0
1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1
1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1
1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1
1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1
1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1
