,approach,dataset,nrow,depth,lambda,time_limit,status,obj_value,train_acc,gap,node_count,solving_time,cb_time_int,cb_time_int_suc,cb_counter_int,cb_counter_int_suc,test_acc,calib_acc,sample
0,Cart,soybean-small_enc.csv,35,2,0.1,600,,,0.8,,,0.0,,,,,0.75,0.6666666666666666,1
5,Cart,soybean-small_enc.csv,35,2,0.1,600,,,0.8571428571428571,,,0.0,,,,,0.5833333333333334,0.8333333333333334,2
10,Cart,soybean-small_enc.csv,35,2,0.1,600,,,0.8285714285714286,,,0.009891033172607422,,,,,0.6666666666666666,0.8333333333333334,3
15,Cart,soybean-small_enc.csv,35,2,0.1,600,,,0.8571428571428571,,,0.004347801208496094,,,,,0.5833333333333334,0.8333333333333334,4
20,Cart,soybean-small_enc.csv,35,3,0.1,600,,,1.0,,,0.004734516143798828,,,,,1.0,1.0,1
25,Cart,soybean-small_enc.csv,35,3,0.1,600,,,1.0,,,0.006656408309936523,,,,,1.0,1.0,2
30,Cart,soybean-small_enc.csv,35,3,0.1,600,,,1.0,,,0.002231597900390625,,,,,1.0,1.0,3
35,Cart,soybean-small_enc.csv,35,3,0.1,600,,,1.0,,,0.0,,,,,1.0,1.0,4
40,Cart,soybean-small_enc.csv,35,4,0.1,600,,,1.0,,,0.0028226375579833984,,,,,1.0,1.0,1
45,Cart,soybean-small_enc.csv,35,4,0.1,600,,,1.0,,,0.0,,,,,1.0,1.0,2
50,Cart,soybean-small_enc.csv,35,4,0.1,600,,,1.0,,,0.0,,,,,1.0,1.0,3
55,Cart,soybean-small_enc.csv,35,4,0.1,600,,,1.0,,,0.0,,,,,1.0,1.0,4
60,Cart,soybean-small_enc.csv,35,5,0.1,600,,,1.0,,,0.0,,,,,1.0,1.0,1
65,Cart,soybean-small_enc.csv,35,5,0.1,600,,,1.0,,,0.0,,,,,1.0,1.0,2
70,Cart,soybean-small_enc.csv,35,5,0.1,600,,,1.0,,,0.0,,,,,1.0,1.0,3
75,Cart,soybean-small_enc.csv,35,5,0.1,600,,,1.0,,,0.00801706314086914,,,,,1.0,1.0,4
80,Cart,breast-cancer_enc.csv,207,2,0.1,600,,,0.7053140096618358,,,0.0,,,,,0.7142857142857143,0.7391304347826086,1
