approach,dataset,depth,obs_count,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc,mean_solv_time,std_solve_time,mean_gap,std_gap,mean_train_cart,mean_test_cart,enc_features
BendersOCT,balance-scale_enc.csv,2,468,0.6816239316239316,0.00971380462748282,0.6815286624203821,0.02895579978128631,7.29343181848526,3.848633363157584,0.05983476513601611,0.02905672793375151,0.6800213675213675,0.6863057324840763,21
BendersOCT,balance-scale_enc.csv,3,468,0.7382478632478633,0.010540347996402228,0.7101910828025477,0.01103217074884635,600.0185071825981,0.003884306682793435,19.203562018846977,6.858617199867199,0.7013888888888888,0.697452229299363,21
BendersOCT,balance-scale_enc.csv,4,468,0.7649572649572649,0.007994994416183671,0.7388535031847134,0.02987525961670983,600.0170035362244,0.002609740984234926,93.00678107609497,0.494543009190094,0.7232905982905983,0.697452229299363,21
BendersOCT,balance-scale_enc.csv,5,468,0.7831196581196581,0.016779514229899945,0.7643312101910827,0.03330018501349928,600.0292137861252,0.011718167457003442,99.46609351042284,0.0714257591526717,0.7916666666666666,0.7292993630573248,21
BendersOCT,breast-cancer_enc.csv,2,207,0.78743961352657,0.011833283781561245,0.7071428571428572,0.03400680204068024,14.580398201942444,2.129862209746005,0.005678376741584522,0.011356753483169044,0.7765700483091786,0.7428571428571429,39
BendersOCT,breast-cancer_enc.csv,3,207,0.817632850241546,0.0060787716870134385,0.725,0.029450754468697563,600.0156031250954,0.0051071009440216576,81.47642742924964,7.360110154908782,0.7934782608695652,0.7071428571428571,39
BendersOCT,breast-cancer_enc.csv,4,207,0.8490338164251208,0.0210112533827695,0.725,0.05134252060201864,647.7916349768639,95.54490539368956,98.41040571950231,0.3378032595109487,0.8200483091787439,0.7178571428571429,39
BendersOCT,breast-cancer_enc.csv,5,207,0.8586956521739131,0.019869505119570183,0.7107142857142856,0.03933978962347217,600.0318267345428,0.008132210056412556,98.44389245628855,0.1692179996856253,0.8538647342995169,0.7250000000000001,39
BendersOCT,car_evaluation_enc.csv,2,1296,0.7816358024691359,0.0032736425054933006,0.7662037037037037,0.009820927516479798,54.733053267002106,5.807394442363443,0.0,0.0,0.7816358024691359,0.7662037037037037,20
BendersOCT,car_evaluation_enc.csv,3,1296,0.8109567901234568,0.005808430962261419,0.7893518518518519,0.017425292886784318,600.055941283703,0.03679445254924788,84.53744025985472,12.065990856600752,0.8097993827160493,0.7928240740740741,20
BendersOCT,car_evaluation_enc.csv,4,1296,0.8229166666666667,0.008129362463620952,0.7951388888888888,0.00612442433116801,600.0379954576492,0.0065779176600026,99.78653698095415,0.020665744777723635,0.8225308641975309,0.7962962962962963,20
BendersOCT,car_evaluation_enc.csv,5,1296,0.8312114197530864,0.019040306236268865,0.8130787037037037,0.01480697612839156,600.0469675064087,0.008753498908137928,99.79626502334204,0.026039869147749216,0.8682484567901234,0.859375,20
BendersOCT,kr-vs-kp_enc.csv,2,2397,0.8620150187734669,0.01218387027896557,0.8670212765957446,0.01564455569461826,541.6572522521019,57.496813365045746,13.581891488063981,27.139607489376136,0.7743012098456403,0.7643929912390488,39
BendersOCT,kr-vs-kp_enc.csv,3,2397,0.7994367959949937,0.018182815886061205,0.7900500625782227,0.010083964927218898,600.0554766058922,0.022850663442483474,99.92919362229796,0.00881729753841264,0.9045682102628285,0.9033166458072591,39
BendersOCT,kr-vs-kp_enc.csv,4,2397,0.7882770129328327,0.07255196633415925,0.7909887359198999,0.05847186264646467,600.060234606266,0.030647054743111482,99.92574408547407,0.024956693004898244,0.9424280350438048,0.9361702127659575,39
BendersOCT,kr-vs-kp_enc.csv,5,2397,0.80997079682937,0.11611553695499716,0.8000625782227785,0.11485959615302245,600.211194396019,0.18697272630887254,99.88997444841412,0.06631091671709072,0.9424280350438048,0.9361702127659575,39
BendersOCT,monk1_enc.csv,2,93,0.8387096774193549,0.0291184172209174,0.7016129032258064,0.1065818688258011,1.129557728767395,0.27396111397316547,0.0,0.0,0.7688172043010753,0.6612903225806451,16
BendersOCT,monk1_enc.csv,3,93,0.932795698924731,0.016129032258064627,0.846774193548387,0.06650170363899446,11.186718761920929,2.746995378993976,0.0,0.0,0.881720430107527,0.782258064516129,16
BendersOCT,monk1_enc.csv,4,93,1.0,0.0,1.0,0.0,10.523622393608093,1.6031090276625395,0.0,0.0,0.881720430107527,0.782258064516129,16
