"approach","dataset","nrow","depth","lambda","time_limit","status","obj_value","train_acc","gap","node_count","solving_time","cb_time_int","cb_time_int_suc","cb_counter_int","cb_counter_int_suc","test_acc","calib_acc","sample"
"Cart","soybean-small_enc.csv",35,2,0.1,600,"NA","NA",0.8,"NA","NA",0.0,"NA","NA","NA","NA",0.75,0.6666666666666666,1
"BendersOCT","soybean-small_enc.csv",35,2,0.1,600,2,-0.29999999999997584,1.0,0.0,317.0,1.2138149738311768,0.29808497428894043,0.27422022819519043,25,15,1.0,1.0,1
"FlowOCT","soybean-small_enc.csv",35,2,0.1,600,2,-0.2999999999999794,1.0,0.0,1.0,0.31413841247558594,0,0,0,0,1.0,1.0,1
"binOCT","soybean-small_enc.csv",35,2,0.1,600,2,0.0,1.0,0.0,11.0,0.633103609085083,0,0,0,0,1.0,1.0,1
"OCT","soybean-small_enc.csv",35,2,0.1,600,2,125.7,1.0,0.0,562.0,3.545422315597534,0,0,0,0,1.0,1.0,1
"Cart","soybean-small_enc.csv",35,2,0.1,600,"NA","NA",0.8571428571428571,"NA","NA",0.0,"NA","NA","NA","NA",0.5833333333333334,0.8333333333333334,2
"BendersOCT","soybean-small_enc.csv",35,2,0.1,600,2,-0.29999999999997584,1.0,0.0,169.0,0.8390522003173828,0.2171785831451416,0.20758962631225586,16,10,1.0,1.0,2
"FlowOCT","soybean-small_enc.csv",35,2,0.1,600,2,-0.2999999999999794,1.0,0.0,23.0,1.1048483848571777,0,0,0,0,1.0,1.0,2
"binOCT","soybean-small_enc.csv",35,2,0.1,600,2,0.0,1.0,0.0,1.0,0.49448490142822266,0,0,0,0,1.0,1.0,2
"OCT","soybean-small_enc.csv",35,2,0.1,600,2,125.7,1.0,0.07955449482896462,643.0,4.445924520492554,0,0,0,0,1.0,1.0,2
"Cart","soybean-small_enc.csv",35,2,0.1,600,"NA","NA",0.8285714285714286,"NA","NA",0.009891033172607422,"NA","NA","NA","NA",0.6666666666666666,0.8333333333333334,3
"BendersOCT","soybean-small_enc.csv",35,2,0.1,600,2,-0.29999999999997584,1.0,0.0,292.0,1.2966208457946777,0.42621278762817383,0.3950316905975342,20,15,1.0,1.0,3
"FlowOCT","soybean-small_enc.csv",35,2,0.1,600,2,-0.2999999999999794,1.0,0.0,43.0,0.6092114448547363,0,0,0,0,1.0,1.0,3
"binOCT","soybean-small_enc.csv",35,2,0.1,600,2,0.0,1.0,0.0,1.0,0.6187534332275391,0,0,0,0,1.0,1.0,3
"OCT","soybean-small_enc.csv",35,2,0.1,600,2,125.7,1.0,0.0,541.0,4.038647890090942,0,0,0,0,1.0,1.0,3
"Cart","soybean-small_enc.csv",35,2,0.1,600,"NA","NA",0.8571428571428571,"NA","NA",0.004347801208496094,"NA","NA","NA","NA",0.5833333333333334,0.8333333333333334,4
"BendersOCT","soybean-small_enc.csv",35,2,0.1,600,2,-0.29999999999997584,1.0,0.0,294.0,0.7717971801757812,0.2194538116455078,0.21164917945861816,20,14,1.0,1.0,4
"FlowOCT","soybean-small_enc.csv",35,2,0.1,600,2,-0.29999999999997584,1.0,0.0,1.0,0.4420924186706543,0,0,0,0,1.0,1.0,4
"binOCT","soybean-small_enc.csv",35,2,0.1,600,2,0.0,1.0,0.0,83.0,0.8793275356292725,0,0,0,0,1.0,1.0,4
"OCT","soybean-small_enc.csv",35,2,0.1,600,2,125.7,1.0,0.0,589.0,6.784040451049805,0,0,0,0,1.0,1.0,4
"Cart","soybean-small_enc.csv",35,3,0.1,600,"NA","NA",1.0,"NA","NA",0.004734516143798828,"NA","NA","NA","NA",1.0,1.0,1
"BendersOCT","soybean-small_enc.csv",35,3,0.1,600,2,-0.29999999999997584,1.0,0.0,532.0,2.8029747009277344,0.7890758514404297,0.7420594692230225,32,24,1.0,1.0,1
"FlowOCT","soybean-small_enc.csv",35,3,0.1,600,2,-0.29999999999997584,1.0,0.0,1.0,0.5349187850952148,0,0,0,0,1.0,1.0,1
"binOCT","soybean-small_enc.csv",35,3,0.1,600,2,0.0,1.0,0.0,1.0,0.9429569244384766,0,0,0,0,1.0,1.0,1
"OCT","soybean-small_enc.csv",35,3,0.1,600,2,251.4,1.0,0.07955449482895331,518.0,9.365910530090332,0,0,0,0,1.0,1.0,1
"Cart","soybean-small_enc.csv",35,3,0.1,600,"NA","NA",1.0,"NA","NA",0.0066564083099365234,"NA","NA","NA","NA",1.0,1.0,2
"BendersOCT","soybean-small_enc.csv",35,3,0.1,600,2,-0.29999999999997584,1.0,0.0,282.0,2.171581745147705,0.8145534992218018,0.7875113487243652,20,15,1.0,1.0,2
"FlowOCT","soybean-small_enc.csv",35,3,0.1,600,2,-0.29999999999997584,1.0,0.0,1.0,0.9836821556091309,0,0,0,0,1.0,1.0,2
"binOCT","soybean-small_enc.csv",35,3,0.1,600,2,0.0,1.0,0.0,1.0,1.0068740844726562,0,0,0,0,0.75,1.0,2
"OCT","soybean-small_enc.csv",35,3,0.1,600,2,251.4,1.0,0.07955449482895331,518.0,12.918610572814941,0,0,0,0,1.0,1.0,2
"Cart","soybean-small_enc.csv",35,3,0.1,600,"NA","NA",1.0,"NA","NA",0.002231597900390625,"NA","NA","NA","NA",1.0,1.0,3
"BendersOCT","soybean-small_enc.csv",35,3,0.1,600,2,-0.29999999999997584,1.0,0.0,167.0,2.0806612968444824,0.7710940837860107,0.7516510486602783,34,28,1.0,1.0,3
"FlowOCT","soybean-small_enc.csv",35,3,0.1,600,2,-0.29999999999997584,1.0,0.0,1.0,1.1604857444763184,0,0,0,0,1.0,1.0,3
"binOCT","soybean-small_enc.csv",35,3,0.1,600,2,0.0,1.0,0.0,1.0,0.975428581237793,0,0,0,0,1.0,1.0,3
"OCT","soybean-small_enc.csv",35,3,0.1,600,2,251.4,1.0,0.07955449482895331,537.0,16.874184370040894,0,0,0,0,1.0,1.0,3
"Cart","soybean-small_enc.csv",35,3,0.1,600,"NA","NA",1.0,"NA","NA",0.0,"NA","NA","NA","NA",1.0,1.0,4
"BendersOCT","soybean-small_enc.csv",35,3,0.1,600,2,-0.29999999999997584,1.0,0.0,178.0,1.444988489151001,0.5264291763305664,0.5135984420776367,25,19,1.0,1.0,4
"FlowOCT","soybean-small_enc.csv",35,3,0.1,600,2,-0.29999999999997584,1.0,0.0,1.0,1.831132173538208,0,0,0,0,1.0,1.0,4
"binOCT","soybean-small_enc.csv",35,3,0.1,600,2,0.0,1.0,0.0,1.0,1.073946237564087,0,0,0,0,1.0,1.0,4
"OCT","soybean-small_enc.csv",35,3,0.1,600,2,251.4,1.0,0.07955449482895331,523.0,14.926710844039917,0,0,0,0,1.0,1.0,4
"Cart","soybean-small_enc.csv",35,4,0.1,600,"NA","NA",1.0,"NA","NA",0.0028226375579833984,"NA","NA","NA","NA",1.0,1.0,1
"BendersOCT","soybean-small_enc.csv",35,4,0.1,600,2,-0.2999999999999723,1.0,0.0,285.0,3.563448905944824,1.031606674194336,0.9864497184753418,36,26,1.0,1.0,1
"FlowOCT","soybean-small_enc.csv",35,4,0.1,600,2,-0.29999999999997584,1.0,0.0,1.0,7.542986154556274,0,0,0,0,1.0,1.0,1
"binOCT","soybean-small_enc.csv",35,4,0.1,600,2,0.0,1.0,0.0,1.0,2.5882177352905273,0,0,0,0,1.0,1.0,1
"OCT","soybean-small_enc.csv",35,4,0.1,600,2,503.1,1.0,0.09938382031405286,513.0,44.14037561416626,0,0,0,0,1.0,1.0,1
"Cart","soybean-small_enc.csv",35,4,0.1,600,"NA","NA",1.0,"NA","NA",0.0,"NA","NA","NA","NA",1.0,1.0,2
"BendersOCT","soybean-small_enc.csv",35,4,0.1,600,2,-0.29999999999997584,1.0,0.0,99.0,2.189300537109375,0.9202272891998291,0.8939037322998047,25,18,1.0,1.0,2
"FlowOCT","soybean-small_enc.csv",35,4,0.1,600,2,-0.29999999999997584,1.0,0.0,1.0,3.5036725997924805,0,0,0,0,1.0,1.0,2
"binOCT","soybean-small_enc.csv",35,4,0.1,600,2,0.0,1.0,0.0,1.0,2.562375068664551,0,0,0,0,1.0,1.0,2
"OCT","soybean-small_enc.csv",35,4,0.1,600,2,503.2,1.0,0.07949125596185098,526.0,62.63042140007019,0,0,0,0,1.0,1.0,2
"Cart","soybean-small_enc.csv",35,4,0.1,600,"NA","NA",1.0,"NA","NA",0.0,"NA","NA","NA","NA",1.0,1.0,3
"BendersOCT","soybean-small_enc.csv",35,4,0.1,600,2,-0.29999999999997584,1.0,0.0,232.0,2.5603652000427246,1.1069746017456055,1.0851268768310547,29,22,1.0,1.0,3
"FlowOCT","soybean-small_enc.csv",35,4,0.1,600,2,-0.2999999999999723,1.0,0.0,1.0,1.7593472003936768,0,0,0,0,1.0,1.0,3
"binOCT","soybean-small_enc.csv",35,4,0.1,600,2,0.0,1.0,0.0,1.0,2.4288978576660156,0,0,0,0,1.0,1.0,3
"OCT","soybean-small_enc.csv",35,4,0.1,600,2,503.2,1.0,0.07949125596185098,1.0,31.903297662734985,0,0,0,0,1.0,1.0,3
"Cart","soybean-small_enc.csv",35,4,0.1,600,"NA","NA",1.0,"NA","NA",0.0,"NA","NA","NA","NA",1.0,1.0,4
"BendersOCT","soybean-small_enc.csv",35,4,0.1,600,2,-0.29999999999997584,1.0,0.0,92.0,2.080512762069702,0.7711920738220215,0.7502574920654297,22,16,1.0,1.0,4
"FlowOCT","soybean-small_enc.csv",35,4,0.1,600,2,-0.29999999999997584,1.0,0.0,19.0,5.90003228187561,0,0,0,0,1.0,1.0,4
"binOCT","soybean-small_enc.csv",35,4,0.1,600,2,0.0,1.0,0.0,1.0,1.9479775428771973,0,0,0,0,1.0,1.0,4
"OCT","soybean-small_enc.csv",35,4,0.1,600,2,503.1,1.0,0.09938382031405286,381.0,52.13695311546326,0,0,0,0,1.0,1.0,4
"Cart","soybean-small_enc.csv",35,5,0.1,600,"NA","NA",1.0,"NA","NA",0.0,"NA","NA","NA","NA",1.0,1.0,1
"BendersOCT","soybean-small_enc.csv",35,5,0.1,600,2,-0.29999999999997584,1.0,0.0,218.0,3.8399901390075684,0.975644588470459,0.9604601860046387,29,23,1.0,1.0,1
"FlowOCT","soybean-small_enc.csv",35,5,0.1,600,2,-0.2999999999999723,1.0,0.0,1.0,12.540095806121826,0,0,0,0,1.0,1.0,1
"binOCT","soybean-small_enc.csv",35,5,0.1,600,2,0.0,1.0,0.0,1.0,5.057816028594971,0,0,0,0,0.8333333333333334,1.0,1
"OCT","soybean-small_enc.csv",35,5,0.1,600,2,1006.5,1.0,0.09935419771485346,1.0,432.90425300598145,0,0,0,0,0.9166666666666666,1.0,1
"Cart","soybean-small_enc.csv",35,5,0.1,600,"NA","NA",1.0,"NA","NA",0.0,"NA","NA","NA","NA",1.0,1.0,2
"BendersOCT","soybean-small_enc.csv",35,5,0.1,600,2,-0.29999999999997584,1.0,0.0,267.0,2.731602907180786,0.8711879253387451,0.8572168350219727,38,30,1.0,1.0,2
"FlowOCT","soybean-small_enc.csv",35,5,0.1,600,2,-0.300000000000054,1.0,0.0,1.0,14.986818075180054,0,0,0,0,1.0,1.0,2
"binOCT","soybean-small_enc.csv",35,5,0.1,600,2,0.0,1.0,0.0,1.0,3.203049898147583,0,0,0,0,0.75,1.0,2
"OCT","soybean-small_enc.csv",35,5,0.1,600,2,1007.0,1.0,0.059582919563060846,82.0,94.69491696357727,0,0,0,0,1.0,1.0,2
"Cart","soybean-small_enc.csv",35,5,0.1,600,"NA","NA",1.0,"NA","NA",0.0,"NA","NA","NA","NA",1.0,1.0,3
"BendersOCT","soybean-small_enc.csv",35,5,0.1,600,2,-0.29999999999997584,1.0,0.0,171.0,2.1746256351470947,0.3797788619995117,0.3688199520111084,20,14,1.0,1.0,3
