approach,dataset,nrow,depth,lambda,time_limit,status,obj_value,train_acc,gap,node_count,solving_time,cb_time_int,cb_time_int_suc,cb_counter_int,cb_counter_int_suc,test_acc,calib_acc,sample,warmstart
BendersOCT,soybean-small_enc.csv,35,2,0.1,600,2.0,-0.2999999999999758,1.0,0.0,317.0,1.2138149738311768,0.2980849742889404,0.2742202281951904,25.0,15.0,1.0,1.0,1,
FlowOCT,soybean-small_enc.csv,35,2,0.1,600,2.0,-0.2999999999999794,1.0,0.0,1.0,0.3141384124755859,0.0,0.0,0.0,0.0,1.0,1.0,1,
binOCT,soybean-small_enc.csv,35,2,0.1,600,2.0,0.0,1.0,0.0,11.0,0.633103609085083,0.0,0.0,0.0,0.0,1.0,1.0,1,
OCT,soybean-small_enc.csv,35,2,0.1,600,2.0,125.7,1.0,0.0,562.0,3.545422315597534,0.0,0.0,0.0,0.0,1.0,1.0,1,
BendersOCT,soybean-small_enc.csv,35,2,0.1,600,2.0,-0.2999999999999758,1.0,0.0,169.0,0.8390522003173828,0.2171785831451416,0.2075896263122558,16.0,10.0,1.0,1.0,2,
FlowOCT,soybean-small_enc.csv,35,2,0.1,600,2.0,-0.2999999999999794,1.0,0.0,23.0,1.1048483848571775,0.0,0.0,0.0,0.0,1.0,1.0,2,
binOCT,soybean-small_enc.csv,35,2,0.1,600,2.0,0.0,1.0,0.0,1.0,0.4944849014282226,0.0,0.0,0.0,0.0,1.0,1.0,2,
OCT,soybean-small_enc.csv,35,2,0.1,600,2.0,125.7,1.0,0.0795544948289646,643.0,4.445924520492554,0.0,0.0,0.0,0.0,1.0,1.0,2,
BendersOCT,soybean-small_enc.csv,35,2,0.1,600,2.0,-0.2999999999999758,1.0,0.0,292.0,1.2966208457946775,0.4262127876281738,0.3950316905975342,20.0,15.0,1.0,1.0,3,
FlowOCT,soybean-small_enc.csv,35,2,0.1,600,2.0,-0.2999999999999794,1.0,0.0,43.0,0.6092114448547363,0.0,0.0,0.0,0.0,1.0,1.0,3,
binOCT,soybean-small_enc.csv,35,2,0.1,600,2.0,0.0,1.0,0.0,1.0,0.6187534332275391,0.0,0.0,0.0,0.0,1.0,1.0,3,
OCT,soybean-small_enc.csv,35,2,0.1,600,2.0,125.7,1.0,0.0,541.0,4.038647890090942,0.0,0.0,0.0,0.0,1.0,1.0,3,
BendersOCT,soybean-small_enc.csv,35,2,0.1,600,2.0,-0.2999999999999758,1.0,0.0,294.0,0.7717971801757812,0.2194538116455078,0.2116491794586181,20.0,14.0,1.0,1.0,4,
