"approach","dataset","tdr","fdr","sample"
Benders,synthetic100_10_2.csv,1.0,0.0,1
Cart,synthetic100_10_2.csv,0.6666666666666666,0.3333333333333333,1
Flow,synthetic100_10_2.csv,1.0,0.0,1
Bin,synthetic100_10_2.csv,1.0,0.0,1
OCT,synthetic100_10_2.csv,1.0,0.0,1
Benders,synthetic100_10_2.csv,1.0,0.0,2
Cart,synthetic100_10_2.csv,0.6666666666666666,0.3333333333333333,2
Flow,synthetic100_10_2.csv,0.6666666666666666,0.3333333333333333,2
Bin,synthetic100_10_2.csv,0.6666666666666666,0.3333333333333333,2
OCT,synthetic100_10_2.csv,1.0,0.0,2
Benders,synthetic100_10_2.csv,1.0,0.0,3
Cart,synthetic100_10_2.csv,0.6666666666666666,0.3333333333333333,3
Flow,synthetic100_10_2.csv,1.0,0.0,3
Bin,synthetic100_10_2.csv,1.0,0.0,3
OCT,synthetic100_10_2.csv,1.0,0.0,3
Benders,synthetic100_10_2.csv,1.0,0.0,4
Cart,synthetic100_10_2.csv,0.6666666666666666,0.3333333333333333,4
Flow,synthetic100_10_2.csv,1.0,0.0,4
Bin,synthetic100_10_2.csv,1.0,0.0,4
OCT,synthetic100_10_2.csv,1.0,0.0,4
Benders,synthetic100_10_3.csv,1.0,0.14285714285714285,1
Cart,synthetic100_10_3.csv,0.6666666666666666,0.3333333333333333,1
Flow,synthetic100_10_3.csv,1.0,0.14285714285714285,1
Bin,synthetic100_10_3.csv,1.0,0.14285714285714285,1
OCT,synthetic100_10_3.csv,1.0,0.14285714285714285,1
Benders,synthetic100_10_3.csv,1.0,0.0,2
Cart,synthetic100_10_3.csv,0.6666666666666666,0.3333333333333333,2
Flow,synthetic100_10_3.csv,1.0,0.14285714285714285,2
Bin,synthetic100_10_3.csv,1.0,0.14285714285714285,2
OCT,synthetic100_10_3.csv,1.0,0.14285714285714285,2
Benders,synthetic100_10_3.csv,1.0,0.0,3
Cart,synthetic100_10_3.csv,0.8333333333333334,0.16666666666666666,3
Flow,synthetic100_10_3.csv,1.0,0.0,3
Bin,synthetic100_10_3.csv,1.0,0.14285714285714285,3
OCT,synthetic100_10_3.csv,1.0,0.14285714285714285,3
Benders,synthetic100_10_3.csv,1.0,0.14285714285714285,4
Cart,synthetic100_10_3.csv,0.6666666666666666,0.3333333333333333,4
Flow,synthetic100_10_3.csv,1.0,0.14285714285714285,4
Bin,synthetic100_10_3.csv,1.0,0.14285714285714285,4
OCT,synthetic100_10_3.csv,1.0,0.14285714285714285,4
Benders,synthetic100_10_4.csv,0.7142857142857143,0.3333333333333333,1
Cart,synthetic100_10_4.csv,0.5,0.36363636363636365,1
Flow,synthetic100_10_4.csv,0.6428571428571429,0.35714285714285715,1
Bin,synthetic100_10_4.csv,0.7142857142857143,0.3333333333333333,1
OCT,synthetic100_10_4.csv,0.6428571428571429,0.4,1
Benders,synthetic100_10_4.csv,0.6428571428571429,0.35714285714285715,2
Cart,synthetic100_10_4.csv,0.5,0.3,2
Flow,synthetic100_10_4.csv,0.6428571428571429,0.35714285714285715,2
Bin,synthetic100_10_4.csv,0.7142857142857143,0.3333333333333333,2
OCT,synthetic100_10_4.csv,0.7857142857142857,0.26666666666666666,2
Benders,synthetic100_10_4.csv,0.7142857142857143,0.3333333333333333,3
Cart,synthetic100_10_4.csv,0.5714285714285714,0.2,3
Flow,synthetic100_10_4.csv,0.5714285714285714,0.42857142857142855,3
Bin,synthetic100_10_4.csv,0.6428571428571429,0.4,3
OCT,synthetic100_10_4.csv,0.5714285714285714,0.4666666666666667,3
Benders,synthetic100_10_4.csv,0.7142857142857143,0.3333333333333333,4
Cart,synthetic100_10_4.csv,0.5,0.3,4
Flow,synthetic100_10_4.csv,0.7857142857142857,0.21428571428571427,4
Bin,synthetic100_10_4.csv,0.5714285714285714,0.4666666666666667,4
OCT,synthetic100_10_4.csv,0.5714285714285714,0.4666666666666667,4
Benders,synthetic100_10_5.csv,0.8823529411764706,0.4230769230769231,1
Cart,synthetic100_10_5.csv,0.4117647058823529,0.2222222222222222,1
Flow,synthetic100_10_5.csv,0.4117647058823529,0.5333333333333333,1
Bin,synthetic100_10_5.csv,0.9411764705882353,0.4838709677419355,1
OCT,synthetic100_10_5.csv,0.6470588235294118,0.6071428571428571,1
Benders,synthetic100_10_5.csv,0.8235294117647058,0.5,2
Cart,synthetic100_10_5.csv,0.47058823529411764,0.38461538461538464,2
Flow,synthetic100_10_5.csv,0.7058823529411765,0.5,2
Bin,synthetic100_10_5.csv,0.8235294117647058,0.5483870967741935,2
OCT,synthetic100_10_5.csv,0.8235294117647058,0.5483870967741935,2
Benders,synthetic100_10_5.csv,0.7647058823529411,0.5357142857142857,3
Cart,synthetic100_10_5.csv,0.5882352941176471,0.09090909090909091,3
Flow,synthetic100_10_5.csv,0.8235294117647058,0.4166666666666667,3
Bin,synthetic100_10_5.csv,0.7647058823529411,0.5806451612903226,3
OCT,synthetic100_10_5.csv,0.8235294117647058,0.5,3
Benders,synthetic100_10_5.csv,0.7058823529411765,0.5555555555555556,4
Cart,synthetic100_10_5.csv,0.4117647058823529,0.4166666666666667,4
Flow,synthetic100_10_5.csv,1.0,0.2608695652173913,4
Bin,synthetic100_10_5.csv,0.7647058823529411,0.5806451612903226,4
OCT,synthetic100_10_5.csv,0.7058823529411765,0.52,4
Benders,synthetic100_30_2.csv,1.0,0.0,1
Cart,synthetic100_30_2.csv,0.6666666666666666,0.3333333333333333,1
Flow,synthetic100_30_2.csv,1.0,0.0,1
Bin,synthetic100_30_2.csv,1.0,0.0,1
OCT,synthetic100_30_2.csv,1.0,0.0,1
Benders,synthetic100_30_2.csv,1.0,0.0,2
Cart,synthetic100_30_2.csv,0.6666666666666666,0.3333333333333333,2
Flow,synthetic100_30_2.csv,1.0,0.0,2
Bin,synthetic100_30_2.csv,1.0,0.0,2
OCT,synthetic100_30_2.csv,1.0,0.0,2
Benders,synthetic100_30_2.csv,1.0,0.0,3
Cart,synthetic100_30_2.csv,0.6666666666666666,0.3333333333333333,3
Flow,synthetic100_30_2.csv,1.0,0.0,3
Bin,synthetic100_30_2.csv,1.0,0.0,3
OCT,synthetic100_30_2.csv,1.0,0.0,3
Benders,synthetic100_30_2.csv,1.0,0.0,4
Cart,synthetic100_30_2.csv,0.6666666666666666,0.3333333333333333,4
Flow,synthetic100_30_2.csv,1.0,0.0,4
Bin,synthetic100_30_2.csv,1.0,0.0,4
OCT,synthetic100_30_2.csv,1.0,0.0,4
Benders,synthetic100_30_3.csv,1.0,0.0,1
Cart,synthetic100_30_3.csv,0.42857142857142855,0.5714285714285714,1
Flow,synthetic100_30_3.csv,0.42857142857142855,0.5714285714285714,1
Bin,synthetic100_30_3.csv,0.14285714285714285,0.8571428571428571,1
OCT,synthetic100_30_3.csv,0.2857142857142857,0.7142857142857143,1
Benders,synthetic100_30_3.csv,1.0,0.0,2
Cart,synthetic100_30_3.csv,0.5714285714285714,0.42857142857142855,2
Flow,synthetic100_30_3.csv,0.7142857142857143,0.2857142857142857,2
Bin,synthetic100_30_3.csv,1.0,0.0,2
OCT,synthetic100_30_3.csv,1.0,0.0,2
Benders,synthetic100_30_3.csv,1.0,0.0,3
Cart,synthetic100_30_3.csv,0.2857142857142857,0.7142857142857143,3
Flow,synthetic100_30_3.csv,0.8571428571428571,0.14285714285714285,3
Bin,synthetic100_30_3.csv,0.42857142857142855,0.5714285714285714,3
OCT,synthetic100_30_3.csv,0.8571428571428571,0.14285714285714285,3
Benders,synthetic100_30_3.csv,1.0,0.0,4
Cart,synthetic100_30_3.csv,0.8571428571428571,0.14285714285714285,4
Flow,synthetic100_30_3.csv,0.8571428571428571,0.14285714285714285,4
Bin,synthetic100_30_3.csv,0.7142857142857143,0.2857142857142857,4
OCT,synthetic100_30_3.csv,1.0,0.0,4
Benders,synthetic100_30_4.csv,0.6666666666666666,0.42857142857142855,1
Cart,synthetic100_30_4.csv,0.25,0.625,1
